KJV
King James Bible: Pure Cambridge Edition - Text courtesy of www.BibleProtector.com
Genesis 1:1	In the beginning God created the heaven and the earth.
Genesis 15:12	And when the sun was going down, a deep sleep fell upon Abram; and, lo, an horror of great darkness fell upon him.
Genesis 15:13	And he said unto Abram, 

Genesis 15:17	And it came to pass, that, when the sun went down, and it was dark, behold a smoking furnace, and a burning lamp that passed between those pieces.
Genesis 15:18	In the same day the LORD made a covenant with Abram, saying,

Genesis 16:1	Now Sarai Abram’s wife bare him no children: and she had an handmaid, an Egyptian, whose name [was] Hagar.
Genesis 16:2	And Sarai said unto Abram, 

And Abram hearkened to the voice of Sarai.
Genesis 16:3	And Sarai Abram’s wife took Hagar her maid the Egyptian, after Abram had dwelt ten years in the land of Canaan, and gave her to her husband Abram to be his wife.
Genesis 16:4	And he went in unto Hagar, and she conceived: and when she saw that she had conceived, her mistress was despised in her eyes.
Genesis 16:5	And Sarai said unto Abram,


Genesis 16:6	But Abram said unto Sarai,

And when Sarai dealt hardly with her, she fled from her face.
Genesis 16:7	And the angel of the LORD found her by a fountain of water in the wilderness, by the fountain in the way to Shur.
Genesis 16:8	And he said,

And she said, I flee from the face of my mistress Sarai.

Genesis 16:9	And the angel of the LORD said unto her, 

Genesis 16:10	And the angel of the LORD said unto her,

Genesis 16:11	And the angel of the LORD said unto her,

Genesis 16:13	And she called the name of the LORD that spake unto her, Thou God seest me: for she said, Have I also here looked after him that seeth me?
Genesis 16:14	Wherefore the well was called Beerlahairoi; behold, [it is] between Kadesh and Bered.
Genesis 16:15	And Hagar bare Abram a son: and Abram called his son’s name, which Hagar bare, Ishmael.
Genesis 16:16	And Abram [was] fourscore and six years old, when Hagar bare Ishmael to Abram.
Genesis 17:1	And when Abram was ninety years old and nine, the LORD appeared to Abram, and said unto him,

Genesis 17:3	And Abram fell on his face: and God talked with him, saying,

Genesis 17:9	And God said unto Abraham, 

Genesis 17:15	And God said unto Abraham,


Genesis 17:18	And Abraham said unto God, 

Genesis 17:19	And God said,

Genesis 17:22	And he left off talking with him, and God went up from Abraham.
Genesis 17:23	And Abraham took Ishmael his son, and all that were born in his house, and all that were bought with his money, every male among the men of Abraham’s house; and circumcised the flesh of their foreskin in the selfsame day, as God had said unto him.
Genesis 17:24	And Abraham [was] ninety years old and nine, when he was circumcised in the flesh of his foreskin.
Genesis 17:25	And Ishmael his son [was] thirteen years old, when he was circumcised in the flesh of his foreskin.
Genesis 17:26	In the selfsame day was Abraham circumcised, and Ishmael his son.
Genesis 17:27	And all the men of his house, born in the house, and bought with money of the stranger, were circumcised with him.
Genesis 18:1	And the LORD appeared unto him in the plains of Mamre: and he sat in the tent door in the heat of the day;
Genesis 18:2	And he lift up his eyes and looked, and, lo, three men stood by him: and when he saw [them], he ran to meet them from the tent door, and bowed himself toward the ground,


Genesis 18:6	And Abraham hastened into the tent unto Sarah, and said,

Genesis 18:7	And Abraham ran unto the herd, and fetcht a calf tender and good, and gave [it] unto a young man; and he hasted to dress it.
Genesis 18:8	And he took butter, and milk, and the calf which he had dressed, and set [it] before them; and he stood by them under the tree, and they did eat.
Genesis 18:9	And they said unto him, 

 And he said, 

 And Sarah heard [it] in the tent door, which [was] behind him.
Genesis 18:11	Now Abraham and Sarah [were] old [and] well stricken in age; [and] it ceased to be with Sarah after the manner of women.
Genesis 18:12	Therefore Sarah laughed within herself, saying, After I am waxed old shall I have pleasure, my lord being old also?
Genesis 18:13	And the LORD said unto Abraham, 

Genesis 18:15	Then Sarah denied, saying, 


for she was afraid. And he said,
Genesis 18:16	And the men rose up from thence, and looked toward Sodom: and Abraham went with them to bring them on the way.
Genesis 18:17	And the LORD said,

Genesis 18:20	And the LORD said,

Genesis 18:22	And the men turned their faces from thence, and went toward Sodom: but Abraham stood yet before the LORD.
Genesis 18:23	And Abraham drew near, and said, 

Genesis 18:26	And the LORD said, 

Genesis 18:27	And Abraham answered and said,


Genesis 18:30	And he said [unto him], 

Genesis 18:33	And the LORD went his way, as soon as he had left communing with Abraham: and Abraham returned unto his place.
Genesis 19:1	And there came two angels to Sodom at even; and Lot sat in the gate of Sodom: and Lot seeing [them] rose up to meet them; and he bowed himself with his face toward the ground;
Genesis 19:2	And he said,

Genesis 19:3	And he pressed upon them greatly; and they turned in unto him, and entered into his house; and he made them a feast, and did bake unleavened bread, and they did eat.
Genesis 19:4	But before they lay down, the men of the city, [even] the men of Sodom, compassed the house round, both old and young, all the people from every quarter:
Genesis 19:5	And they called unto Lot, and said unto him, Where [are] the men which came in to thee this night? bring them out unto us, that we may know them.
Genesis 19:6	And Lot went out at the door unto them, and shut the door after him,
Genesis 19:7	And said,

Genesis 19:9	And they said, Stand back. And they said [again], This one [fellow] came in to sojourn, and he will needs be a judge: now will we deal worse with thee, than with them. And they pressed sore upon the man, [even] Lot, and came near to break the door.
Genesis 19:10	But the men put forth their hand, and pulled Lot into the house to them, and shut to the door.
Genesis 19:11	And they smote the men that [were] at the door of the house with blindness, both small and great: so that they wearied themselves to find the door.
Genesis 19:12	And the men said unto Lot,

Genesis 19:14	And Lot went out, and spake unto his sons in law, which married his daughters, and said, Up, get you out of this place; for the LORD will destroy this city. But he seemed as one that mocked unto his sons in law.
Genesis 19:15	And when the morning arose, then the angels hastened Lot, saying,

Genesis 19:16	And while he lingered, the men laid hold upon his hand, and upon the hand of his wife, and upon the hand of his two daughters; the LORD being merciful unto him: and they brought him forth, and set him without the city.
Genesis 19:17	And it came to pass, when they had brought them forth abroad, that he said,

Genesis 19:18	And Lot said unto them, 

Genesis 19:21	And he said unto him, 


Genesis 19:23	The sun was risen upon the earth when Lot entered into Zoar.
Genesis 19:24	Then the LORD rained upon Sodom and upon Gomorrah brimstone and fire from the LORD out of heaven;
Genesis 19:25	And he overthrew those cities, and all the plain, and all the inhabitants of the cities, and that which grew upon the ground.
Genesis 19:26	But his wife looked back from behind him, and she became a pillar of salt.
Genesis 19:27	And Abraham gat up early in the morning to the place where he stood before the LORD:
Genesis 19:28	And he looked toward Sodom and Gomorrah, and toward all the land of the plain, and beheld, and, lo, the smoke of the country went up as the smoke of a furnace.
Genesis 19:29	And it came to pass, when God destroyed the cities of the plain, that God remembered Abraham, and sent Lot out of the midst of the overthrow, when he overthrew the cities in the which Lot dwelt.
Genesis 19:30	And Lot went up out of Zoar, and dwelt in the mountain, and his two daughters with him; for he feared to dwell in Zoar: and he dwelt in a cave, he and his two daughters.
Genesis 19:31	And the firstborn said unto the younger, Our father [is] old, and [there is] not a man in the earth to come in unto us after the manner of all the earth:
Genesis 19:32	Come, let us make our father drink wine, and we will lie with him, that we may preserve seed of our father.
Genesis 19:33	And they made their father drink wine that night: and the firstborn went in, and lay with her father; and he perceived not when she lay down, nor when she arose.
Genesis 19:34	And it came to pass on the morrow, that the firstborn said unto the younger, Behold, I lay yesternight with my father: let us make him drink wine this night also; and go thou in, [and] lie with him, that we may preserve seed of our father.
Genesis 19:35	And they made their father drink wine that night also: and the younger arose, and lay with him; and he perceived not when she lay down, nor when she arose.
Genesis 19:36	Thus were both the daughters of Lot with child by their father.
Genesis 19:37	And the firstborn bare a son, and called his name Moab: the same [is] the father of the Moabites unto this day.
Genesis 19:38	And the younger, she also bare a son, and called his name Benammi: the same [is] the father of the children of Ammon unto this day.
Genesis 20:1	And Abraham journeyed from thence toward the south country, and dwelled between Kadesh and Shur, and sojourned in Gerar.
Genesis 20:2	And Abraham said of Sarah his wife,


and Abimelech king of Gerar sent, and took Sarah.
Genesis 20:3	But God came to Abimelech in a dream by night, and said to him, 

Genesis 20:4	But Abimelech had not come near her: and he said,
Genesis 20:6	And God said unto him in a dream,

Genesis 20:8	Therefore Abimelech rose early in the morning, and called all his servants, and told all these things in their ears: and the men were sore afraid.
Genesis 20:9	Then Abimelech called Abraham, and said unto him,

Genesis 20:10	And Abimelech said unto Abraham,

Genesis 20:11	And Abraham said,

Genesis 20:14	And Abimelech took sheep, and oxen, and menservants, and womenservants, and gave [them] unto Abraham, and restored him Sarah his wife.
Genesis 20:15	And Abimelech said,

Genesis 20:16	And unto Sarah he said,

Genesis 20:17	So Abraham prayed unto God: and God healed Abimelech, and his wife, and his maidservants; and they bare [children].
Genesis 20:18	For the LORD had fast closed up all the wombs of the house of Abimelech, because of Sarah Abraham’s wife.
Genesis 21:1	And the LORD visited Sarah as he had said, and the LORD did unto Sarah as he had spoken.
Genesis 21:2	For Sarah conceived, and bare Abraham a son in his old age, at the set time of which God had spoken to him.
Genesis 21:3	And Abraham called the name of his son that was born unto him, whom Sarah bare to him, Isaac.
Genesis 21:4	And Abraham circumcised his son Isaac being eight days old, as God had commanded him.
Genesis 21:5	And Abraham was an hundred years old, when his son Isaac was born unto him.
Genesis 21:6	And Sarah said,

Genesis 21:7	And she said,

Genesis 21:8	And the child grew, and was weaned: and Abraham made a great feast the [same] day that Isaac was weaned.
Genesis 21:9	And Sarah saw the son of Hagar the Egyptian, which she had born unto Abraham, mocking.
Genesis 21:10	Wherefore she said unto Abraham,

Genesis 21:11	And the thing was very grievous in Abraham’s sight because of his son.
Genesis 21:12	And God said unto Abraham,

Genesis 21:14	And Abraham rose up early in the morning, and took bread, and a bottle of water, and gave [it] unto Hagar, putting [it] on her shoulder, and the child, and sent her away: and she departed, and wandered in the wilderness of Beersheba.
Genesis 21:15	And the water was spent in the bottle, and she cast the child under one of the shrubs.
Genesis 21:16	And she went, and sat her down over against [him] a good way off, as it were a bowshot: for she said, Let me not see the death of the child. And she sat over against [him], and lift up her voice, and wept.
Genesis 21:17	And God heard the voice of the lad; and the angel of God called to Hagar out of heaven, and said unto her,

Genesis 21:19	And God opened her eyes, and she saw a well of water; and she went, and filled the bottle with water, and gave the lad drink.
Genesis 21:20	And God was with the lad; and he grew, and dwelt in the wilderness, and became an archer.
Genesis 21:21	And he dwelt in the wilderness of Paran: and his mother took him a wife out of the land of Egypt.
Genesis 21:22	And it came to pass at that time, that Abimelech and Phichol the chief captain of his host spake unto Abraham, saying,


Genesis 21:24	And Abraham said, 

Genesis 21:25	And Abraham reproved Abimelech because of a well of water, which Abimelech’s servants had violently taken away.
Genesis 21:26	And Abimelech said,

Genesis 21:27	And Abraham took sheep and oxen, and gave them unto Abimelech; and both of them made a covenant.
Genesis 21:28	And Abraham set seven ewe lambs of the flock by themselves.
Genesis 21:29	And Abimelech said unto Abraham,

Genesis 21:30	And he said, 

Genesis 21:31	Wherefore he called that place Beersheba; because there they sware both of them.
Genesis 21:32	Thus they made a covenant at Beersheba: then Abimelech rose up, and Phichol the chief captain of his host, and they returned into the land of the Philistines.
Genesis 21:33	And [Abraham] planted a grove in Beersheba, and called there on the name of the LORD, the everlasting God.
Genesis 21:34	And Abraham sojourned in the Philistines’ land many days.
Genesis 21:33	And [Abraham] planted a grove in Beersheba, and called there on the name of the LORD, the everlasting God.
Genesis 21:34	And Abraham sojourned in the Philistines’ land many days.
Genesis 22:1	And it came to pass after these things, that God did tempt Abraham, and said unto him, Abraham: and he said, Behold, [here] I [am].
Genesis 22:2	And he said,

Genesis 22:3	And Abraham rose up early in the morning, and saddled his ass, and took two of his young men with him, and Isaac his son, and clave the wood for the burnt offering, and rose up, and went unto the place of which God had told him.
Genesis 22:4	Then on the third day Abraham lifted up his eyes, and saw the place afar off.
Genesis 22:5	And Abraham said unto his young men,


Genesis 22:6	And Abraham took the wood of the burnt offering, and laid [it] upon Isaac his son; and he took the fire in his hand, and a knife; and they went both of them together.
Genesis 22:7	And Isaac spake unto Abraham his father, and said, 

and he said,

And he said,

Genesis 22:8	And Abraham said,

Genesis 22:9	And they came to the place which God had told him of; and Abraham built an altar there, and laid the wood in order, and bound Isaac his son, and laid him on the altar upon the wood.
Genesis 22:10	And Abraham stretched forth his hand, and took the knife to slay his son.
Genesis 22:11	And the angel of the LORD called unto him out of heaven, and said, Abraham, Abraham: and he said, 

Genesis 22:12	And he said, Lay not thine hand upon the lad, neither do thou any thing unto him: for now I know that thou fearest God, seeing thou hast not withheld thy son, thine only [son] from me.
Genesis 22:13	And Abraham lifted up his eyes, and looked, and behold behind [him] a ram caught in a thicket by his horns: and Abraham went and took the ram, and offered him up for a burnt offering in the stead of his son.
Genesis 22:14	And Abraham called the name of that place Jehovahjireh: as it is said [to] this day, In the mount of the LORD it shall be seen.
Genesis 22:15	And the angel of the LORD called unto Abraham out of heaven the second time,
Genesis 22:16	And said, 

Genesis 22:19	So Abraham returned unto his young men, and they rose up and went together to Beersheba; and Abraham dwelt at Beersheba.
Genesis 22:20	And it came to pass after these things, that it was told Abraham, saying, Behold, Milcah, she hath also born children unto thy brother Nahor;
Genesis 22:21	Huz his firstborn, and Buz his brother, and Kemuel the father of Aram,
Genesis 22:22	And Chesed, and Hazo, and Pildash, and Jidlaph, and Bethuel.
Genesis 22:23	And Bethuel begat Rebekah: these eight Milcah did bear to Nahor, Abraham’s brother.
Genesis 22:24	And his concubine, whose name [was] Reumah, she bare also Tebah, and Gaham, and Thahash, and Maachah.
Genesis 23:1	And Sarah was an hundred and seven and twenty years old: [these were] the years of the life of Sarah.
Genesis 23:2	And Sarah died in Kirjatharba; the same [is] Hebron in the land of Canaan: and Abraham came to mourn for Sarah, and to weep for her.
Genesis 23:3	And Abraham stood up from before his dead, and spake unto the sons of Heth, saying,

Genesis 23:5	And the children of Heth answered Abraham, saying unto him,
Genesis 23:6	Hear us, my lord: thou [art] a mighty prince among us: in the choice of our sepulchres bury thy dead; none of us shall withhold from thee his sepulchre, but that thou mayest bury thy dead.
Genesis 23:7	And Abraham stood up, and bowed himself to the people of the land, [even] to the children of Heth.
Genesis 23:8	And he communed with them, saying, 

Genesis 23:10	And Ephron dwelt among the children of Heth: and Ephron the Hittite answered Abraham in the audience of the children of Heth, [even] of all that went in at the gate of his city, saying,
Genesis 23:11	Nay, my lord, hear me: the field give I thee, and the cave that [is] therein, I give it thee; in the presence of the sons of my people give I it thee: bury thy dead.
Genesis 23:12	And Abraham bowed down himself before the people of the land.
Genesis 23:13	And he spake unto Ephron in the audience of the people of the land, saying,

Genesis 23:14	And Ephron answered Abraham, saying unto him,
Genesis 23:15	My lord, hearken unto me: the land [is worth] four hundred shekels of silver; what [is] that betwixt me and thee? bury therefore thy dead.
Genesis 23:16	And Abraham hearkened unto Ephron; and Abraham weighed to Ephron the silver, which he had named in the audience of the sons of Heth, four hundred shekels of silver, current [money] with the merchant.
Genesis 23:17	And the field of Ephron, which [was] in Machpelah, which [was] before Mamre, the field, and the cave which [was] therein, and all the trees that [were] in the field, that [were] in all the borders round about, were made sure
Genesis 23:18	Unto Abraham for a possession in the presence of the children of Heth, before all that went in at the gate of his city.
Genesis 23:19	And after this, Abraham buried Sarah his wife in the cave of the field of Machpelah before Mamre: the same [is] Hebron in the land of Canaan.
Genesis 23:20	And the field, and the cave that [is] therein, were made sure unto Abraham for a possession of a buryingplace by the sons of Heth.
Genesis 24:1	And Abraham was old, [and] well stricken in age: and the LORD had blessed Abraham in all things.
Genesis 24:2	And Abraham said unto his eldest servant of his house, that ruled over all that he had,

Genesis 24:5	And the servant said unto him, 
Genesis 24:6	And Abraham said unto him,


Genesis 24:9	And the servant put his hand under the thigh of Abraham his master, and sware to him concerning that matter.
Genesis 24:10	And the servant took ten camels of the camels of his master, and departed; for all the goods of his master [were] in his hand: and he arose, and went to Mesopotamia, unto the city of Nahor.
Genesis 24:11	And he made his camels to kneel down without the city by a well of water at the time of the evening, [even] the time that women go out to draw [water].
Genesis 24:12	And he said,

Genesis 24:15	And it came to pass, before he had done speaking, that, behold, Rebekah came out, who was born to Bethuel, son of Milcah, the wife of Nahor, Abraham’s brother, with her pitcher upon her shoulder.
Genesis 24:16	And the damsel [was] very fair to look upon, a virgin, neither had any man known her: and she went down to the well, and filled her pitcher, and came up.
Genesis 24:17	And the servant ran to meet her, and said,

Genesis 24:18	And she said,

and she hasted, and let down her pitcher upon her hand, and gave him drink.
Genesis 24:19	And when she had done giving him drink, she said,

Genesis 24:20	And she hasted, and emptied her pitcher into the trough, and ran again unto the well to draw [water], and drew for all his camels.
Genesis 24:21	And the man wondering at her held his peace, to wit whether the LORD had made his journey prosperous or not.
Genesis 24:22	And it came to pass, as the camels had done drinking, that the man took a golden earring of half a shekel weight, and two bracelets for her hands of ten [shekels] weight of gold;
Genesis 24:23	And said, 

Genesis 24:24	And she said unto him,

Genesis 24:25	She said moreover unto him,

Genesis 24:26	And the man bowed down his head, and worshipped the LORD.
Genesis 24:27	And he said,

Genesis 24:28	And the damsel ran, and told [them of] her mother’s house these things.
Genesis 24:29	And Rebekah had a brother, and his name [was] Laban: and Laban ran out unto the man, unto the well.
Genesis 24:30	And it came to pass, when he saw the earring and bracelets upon his sister’s hands, and when he heard the words of Rebekah his sister, saying, Thus spake the man unto me; that he came unto the man; and, behold, he stood by the camels at the well.
Genesis 24:31	And he said, Come in, thou blessed of the LORD; wherefore standest thou without? for I have prepared the house, and room for the camels.
Genesis 24:32	And the man came into the house: and he ungirded his camels, and gave straw and provender for the camels, and water to wash his feet, and the men’s feet that [were] with him.
Genesis 24:33	And there was set [meat] before him to eat: but he said, I will not eat, until I have told mine errand. And he said, Speak on.
Genesis 24:34	And he said, I [am] Abraham’s servant.
Genesis 24:35	And the LORD hath blessed my master greatly; and he is become great: and he hath given him flocks, and herds, and silver, and gold, and menservants, and maidservants, and camels, and asses.
Genesis 24:36	And Sarah my master’s wife bare a son to my master when she was old: and unto him hath he given all that he hath.
Genesis 24:37	And my master made me swear, saying, Thou shalt not take a wife to my son of the daughters of the Canaanites, in whose land I dwell:
Genesis 24:38	But thou shalt go unto my father’s house, and to my kindred, and take a wife unto my son.
Genesis 24:39	And I said unto my master, Peradventure the woman will not follow me.
Genesis 24:40	And he said unto me,

Genesis 24:50	Then Laban and Bethuel answered and said, The thing proceedeth from the LORD: we cannot speak unto thee bad or good.
Genesis 24:51	Behold, Rebekah [is] before thee, take [her], and go, and let her be thy master’s son’s wife, as the LORD hath spoken.
Genesis 24:52	And it came to pass, that, when Abraham’s servant heard their words, he worshipped the LORD, [bowing himself] to the earth.
Genesis 24:53	And the servant brought forth jewels of silver, and jewels of gold, and raiment, and gave [them] to Rebekah: he gave also to her brother and to her mother precious things.
Genesis 24:54	And they did eat and drink, he and the men that [were] with him, and tarried all night; and they rose up in the morning, and he said, Send me away unto my master.
Genesis 24:55	And her brother and her mother said, Let the damsel abide with us [a few] days, at the least ten; after that she shall go.
Genesis 24:56	And he said unto them,

Genesis 24:57	And they said, We will call the damsel, and inquire at her mouth.
Genesis 24:58	And they called Rebekah, and said unto her, Wilt thou go with this man? 

Genesis 24:59	And they sent away Rebekah their sister, and her nurse, and Abraham’s servant, and his men.
Genesis 24:60	And they blessed Rebekah, and said unto her, Thou [art] our sister, be thou [the mother] of thousands of millions, and let thy seed possess the gate of those which hate them.
Genesis 24:61	And Rebekah arose, and her damsels, and they rode upon the camels, and followed the man: and the servant took Rebekah, and went his way.
Genesis 24:62	And Isaac came from the way of the well Lahairoi; for he dwelt in the south country.
Genesis 24:63	And Isaac went out to meditate in the field at the eventide: and he lifted up his eyes, and saw, and, behold, the camels [were] coming.
Genesis 24:64	And Rebekah lifted up her eyes, and when she saw Isaac, she lighted off the camel.
Genesis 24:65	For she [had] said unto the servant,

And the servant [had] said,

therefore she took a vail, and covered herself.

Genesis 24:66	And the servant told Isaac all things that he had done.
Genesis 24:67	And Isaac brought her into his mother Sarah’s tent, and took Rebekah, and she became his wife; and he loved her: and Isaac was comforted after his mother’s [death].
Genesis 25:1	Then again Abraham took a wife, and her name [was] Keturah.
Genesis 25:2	And she bare him Zimran, and Jokshan, and Medan, and Midian, and Ishbak, and Shuah.
Genesis 25:3	And Jokshan begat Sheba, and Dedan. And the sons of Dedan were Asshurim, and Letushim, and Leummim.
Genesis 25:4	And the sons of Midian; Ephah, and Epher, and Hanoch, and Abida, and Eldaah. All these [were] the children of Keturah.
Genesis 25:5	And Abraham gave all that he had unto Isaac.
Genesis 25:6	But unto the sons of the concubines, which Abraham had, Abraham gave gifts, and sent them away from Isaac his son, while he yet lived, eastward, unto the east country.
Genesis 25:7	And these [are] the days of the years of Abraham’s life which he lived, an hundred threescore and fifteen years.
Genesis 25:8	Then Abraham gave up the ghost, and died in a good old age, an old man, and full [of years]; and was gathered to his people.
Genesis 25:9	And his sons Isaac and Ishmael buried him in the cave of Machpelah, in the field of Ephron the son of Zohar the Hittite, which [is] before Mamre;
Genesis 25:10	The field which Abraham purchased of the sons of Heth: there was Abraham buried, and Sarah his wife.
Genesis 25:11	And it came to pass after the death of Abraham, that God blessed his son Isaac; and Isaac dwelt by the well Lahairoi.
Genesis 25:12	Now these [are] the generations of Ishmael, Abraham’s son, whom Hagar the Egyptian, Sarah’s handmaid, bare unto Abraham:
Genesis 25:13	And these [are] the names of the sons of Ishmael, by their names, according to their generations: the firstborn of Ishmael, Nebajoth; and Kedar, and Adbeel, and Mibsam,
Genesis 25:14	And Mishma, and Dumah, and Massa,
Genesis 25:15	Hadar, and Tema, Jetur, Naphish, and Kedemah:
Genesis 25:16	These [are] the sons of Ishmael, and these [are] their names, by their towns, and by their castles; twelve princes according to their nations.
Genesis 25:17	And these [are] the years of the life of Ishmael, an hundred and thirty and seven years: and he gave up the ghost and died; and was gathered unto his people.
Genesis 25:18	And they dwelt from Havilah unto Shur, that [is] before Egypt, as thou goest toward Assyria: [and] he died in the presence of all his brethren.
Genesis 25:19	And these [are] the generations of Isaac, Abraham’s son: Abraham begat Isaac:
Genesis 25:20	And Isaac was forty years old when he took Rebekah to wife, the daughter of Bethuel the Syrian of Padanaram, the sister to Laban the Syrian.
Genesis 25:21	And Isaac intreated the LORD for his wife, because she [was] barren: and the LORD was intreated of him, and Rebekah his wife conceived.
Genesis 25:22	And the children struggled together within her; and she said, 

And she went to inquire of the LORD.
Genesis 25:23	And the LORD said unto her,

Genesis 25:24	And when her days to be delivered were fulfilled, behold, [there were] twins in her womb.
Genesis 25:25	And the first came out red, all over like an hairy garment; and they called his name Esau.
Genesis 25:26	And after that came his brother out, and his hand took hold on Esau’s heel; and his name was called Jacob: and Isaac [was] threescore years old when she bare them.
Genesis 25:27	And the boys grew: and Esau was a cunning hunter, a man of the field; and Jacob [was] a plain man, dwelling in tents.
Genesis 25:28	And Isaac loved Esau, because he did eat of [his] venison: but Rebekah loved Jacob.
Genesis 25:29	And Jacob sod pottage: and Esau came from the field, and he [was] faint:
Genesis 25:30	And Esau said to Jacob, 

therefore was his name called Edom.
Genesis 25:31	And Jacob said,

Genesis 25:32	And Esau said, 
Genesis 25:33	And Jacob said,

and he sware unto him: and he sold his birthright unto Jacob.
Genesis 25:34	Then Jacob gave Esau bread and pottage of lentiles; and he did eat and drink, and rose up, and went his way: thus Esau despised [his] birthright.
Genesis 26:1	And there was a famine in the land, beside the first famine that was in the days of Abraham. And Isaac went unto Abimelech king of the Philistines unto Gerar.
Genesis 26:2	And the LORD appeared unto him, and said,

Genesis 26:6	And Isaac dwelt in Gerar:
Genesis 26:7	And the men of the place asked [him] of his wife; and he said,

for he feared to say, [She is] my wife; lest, [said he], the men of the place should kill me for Rebekah; because she [was] fair to look upon.
Genesis 26:8	And it came to pass, when he had been there a long time, that Abimelech king of the Philistines looked out at a window, and saw, and, behold, Isaac [was] sporting with Rebekah his wife.
Genesis 26:9	And Abimelech called Isaac, and said,

And Isaac said unto him,

Genesis 26:10	And Abimelech said,

Genesis 26:11	And Abimelech charged all [his] people, saying, 

Genesis 26:12	Then Isaac sowed in that land, and received in the same year an hundredfold: and the LORD blessed him.
Genesis 26:13	And the man waxed great, and went forward, and grew until he became very great:
Genesis 26:14	For he had possession of flocks, and possession of herds, and great store of servants: and the Philistines envied him.
Genesis 26:15	For all the wells which his father’s servants had digged in the days of Abraham his father, the Philistines had stopped them, and filled them with earth.
Genesis 26:16	And Abimelech said unto Isaac,

Genesis 26:17	And Isaac departed thence, and pitched his tent in the valley of Gerar, and dwelt there.
Genesis 26:18	And Isaac digged again the wells of water, which they had digged in the days of Abraham his father; for the Philistines had stopped them after the death of Abraham: and he called their names after the names by which his father had called them.
Genesis 26:19	And Isaac’s servants digged in the valley, and found there a well of springing water.
Genesis 26:20	And the herdmen of Gerar did strive with Isaac’s herdmen, saying, The water [is] ours: and he called the name of the well Esek; because they strove with him.
Genesis 26:21	And they digged another well, and strove for that also: and he called the name of it Sitnah.
Genesis 26:22	And he removed from thence, and digged another well; and for that they strove not: and he called the name of it Rehoboth; and he said, For now the LORD hath made room for us, and we shall be fruitful in the land.
Genesis 26:23	And he went up from thence to Beersheba.
Genesis 26:24	And the LORD appeared unto him the same night, and said,

Genesis 26:25	And he builded an altar there, and called upon the name of the LORD, and pitched his tent there: and there Isaac’s servants digged a well.
Genesis 26:26	Then Abimelech went to him from Gerar, and Ahuzzath one of his friends, and Phichol the chief captain of his army.
Genesis 26:27	And Isaac said unto them,

Genesis 26:28	And they said, We saw certainly that the LORD was with thee: and we said, Let there be now an oath betwixt us, [even] betwixt us and thee, and let us make a covenant with thee;
Genesis 26:29	That thou wilt do us no hurt, as we have not touched thee, and as we have done unto thee nothing but good, and have sent thee away in peace: thou [art] now the blessed of the LORD.
Genesis 26:30	And he made them a feast, and they did eat and drink.
Genesis 26:31	And they rose up betimes in the morning, and sware one to another: and Isaac sent them away, and they departed from him in peace.
Genesis 26:32	And it came to pass the same day, that Isaac’s servants came, and told him concerning the well which they had digged, and said unto him, We have found water.
Genesis 26:33	And he called it Shebah: therefore the name of the city [is] Beersheba unto this day.
Genesis 26:34	And Esau was forty years old when he took to wife Judith the daughter of Beeri the Hittite, and Bashemath the daughter of Elon the Hittite:
Genesis 26:35	Which were a grief of mind unto Isaac and to Rebekah.
Genesis 27:1	And it came to pass, that when Isaac was old, and his eyes were dim, so that he could not see, he called Esau his eldest son, and said unto him,


 and he said unto him, Behold, [here am] I.
Genesis 27:2	And he said,

Genesis 27:5	And Rebekah heard when Isaac spake to Esau his son. And Esau went to the field to hunt [for] venison, [and] to bring [it].
Genesis 27:6	And Rebekah spake unto Jacob her son, saying,

Genesis 27:11	And Jacob said to Rebekah his mother,

Genesis 27:13	And his mother said unto him,

Genesis 27:14	And he went, and fetched, and brought [them] to his mother: and his mother made savoury meat, such as his father loved.
Genesis 27:15	And Rebekah took goodly raiment of her eldest son Esau, which [were] with her in the house, and put them upon Jacob her younger son:
Genesis 27:16	And she put the skins of the kids of the goats upon his hands, and upon the smooth of his neck:
Genesis 27:17	And she gave the savoury meat and the bread, which she had prepared, into the hand of her son Jacob.
Genesis 27:18	And he came unto his father, and said, My father: and he said,

Genesis 27:19	And Jacob said unto his father, 

Genesis 27:20	And Isaac said unto his son, 

And he said,

Genesis 27:21	And Isaac said unto Jacob,

Genesis 27:22	And Jacob went near unto Isaac his father; and he felt him, and said,

Genesis 27:23	And he discerned him not, because his hands were hairy, as his brother Esau’s hands: so he blessed him.
Genesis 27:24	And he said,

And he said, I [am].
Genesis 27:25	And he said, 

And he brought [it] near to him, and he did eat: and he brought him wine, and he drank.
Genesis 27:26	And his father Isaac said unto him, Come near now, and kiss me, my son.
Genesis 27:27	And he came near, and kissed him: and he smelled the smell of his raiment, and blessed him, and said,

Genesis 27:30	And it came to pass, as soon as Isaac had made an end of blessing Jacob, and Jacob was yet scarce gone out from the presence of Isaac his father, that Esau his brother came in from his hunting.
Genesis 27:31	And he also had made savoury meat, and brought it unto his father, and said unto his father,


Genesis 27:32	And Isaac his father said unto him, Who [art] thou? And he said, 
Genesis 27:33	And Isaac trembled very exceedingly, and said,

