KJV
King James Bible: Pure Cambridge Edition - Text courtesy of www.BibleProtector.com
Genesis 1:1	In the beginning God created the heaven and the earth.
Genesis 15:12	And when the sun was going down, a deep sleep fell upon Abram; and, lo, an horror of great darkness fell upon him.
Genesis 15:13	And he said unto Abram, 

Genesis 15:17	And it came to pass, that, when the sun went down, and it was dark, behold a smoking furnace, and a burning lamp that passed between those pieces.
Genesis 15:18	In the same day the LORD made a covenant with Abram, saying,

Genesis 16:1	Now Sarai Abram’s wife bare him no children: and she had an handmaid, an Egyptian, whose name [was] Hagar.
Genesis 16:2	And Sarai said unto Abram, 

And Abram hearkened to the voice of Sarai.
Genesis 16:3	And Sarai Abram’s wife took Hagar her maid the Egyptian, after Abram had dwelt ten years in the land of Canaan, and gave her to her husband Abram to be his wife.
Genesis 16:4	And he went in unto Hagar, and she conceived: and when she saw that she had conceived, her mistress was despised in her eyes.
Genesis 16:5	And Sarai said unto Abram,


Genesis 16:6	But Abram said unto Sarai,

And when Sarai dealt hardly with her, she fled from her face.
Genesis 16:7	And the angel of the LORD found her by a fountain of water in the wilderness, by the fountain in the way to Shur.
Genesis 16:8	And he said,

And she said, I flee from the face of my mistress Sarai.

Genesis 16:9	And the angel of the LORD said unto her, 

Genesis 16:10	And the angel of the LORD said unto her,

Genesis 16:11	And the angel of the LORD said unto her,

Genesis 16:13	And she called the name of the LORD that spake unto her, Thou God seest me: for she said, Have I also here looked after him that seeth me?
Genesis 16:14	Wherefore the well was called Beerlahairoi; behold, [it is] between Kadesh and Bered.
Genesis 16:15	And Hagar bare Abram a son: and Abram called his son’s name, which Hagar bare, Ishmael.
Genesis 16:16	And Abram [was] fourscore and six years old, when Hagar bare Ishmael to Abram.
Genesis 17:1	And when Abram was ninety years old and nine, the LORD appeared to Abram, and said unto him,

Genesis 17:3	And Abram fell on his face: and God talked with him, saying,

Genesis 17:9	And God said unto Abraham, 

Genesis 17:15	And God said unto Abraham,


Genesis 17:18	And Abraham said unto God, 

Genesis 17:19	And God said,

Genesis 17:22	And he left off talking with him, and God went up from Abraham.
Genesis 17:23	And Abraham took Ishmael his son, and all that were born in his house, and all that were bought with his money, every male among the men of Abraham’s house; and circumcised the flesh of their foreskin in the selfsame day, as God had said unto him.
Genesis 17:24	And Abraham [was] ninety years old and nine, when he was circumcised in the flesh of his foreskin.
Genesis 17:25	And Ishmael his son [was] thirteen years old, when he was circumcised in the flesh of his foreskin.
Genesis 17:26	In the selfsame day was Abraham circumcised, and Ishmael his son.
Genesis 17:27	And all the men of his house, born in the house, and bought with money of the stranger, were circumcised with him.
Genesis 18:1	And the LORD appeared unto him in the plains of Mamre: and he sat in the tent door in the heat of the day;
Genesis 18:2	And he lift up his eyes and looked, and, lo, three men stood by him: and when he saw [them], he ran to meet them from the tent door, and bowed himself toward the ground,


Genesis 18:6	And Abraham hastened into the tent unto Sarah, and said,

Genesis 18:7	And Abraham ran unto the herd, and fetcht a calf tender and good, and gave [it] unto a young man; and he hasted to dress it.
Genesis 18:8	And he took butter, and milk, and the calf which he had dressed, and set [it] before them; and he stood by them under the tree, and they did eat.
Genesis 18:9	And they said unto him, 

 And he said, 

 And Sarah heard [it] in the tent door, which [was] behind him.
Genesis 18:11	Now Abraham and Sarah [were] old [and] well stricken in age; [and] it ceased to be with Sarah after the manner of women.
Genesis 18:12	Therefore Sarah laughed within herself, saying, After I am waxed old shall I have pleasure, my lord being old also?
Genesis 18:13	And the LORD said unto Abraham, 

Genesis 18:15	Then Sarah denied, saying, 


for she was afraid. And he said,
Genesis 18:16	And the men rose up from thence, and looked toward Sodom: and Abraham went with them to bring them on the way.
Genesis 18:17	And the LORD said,

Genesis 18:20	And the LORD said,

Genesis 18:22	And the men turned their faces from thence, and went toward Sodom: but Abraham stood yet before the LORD.
Genesis 18:23	And Abraham drew near, and said, 

Genesis 18:26	And the LORD said, 

Genesis 18:27	And Abraham answered and said,


Genesis 18:30	And he said [unto him], 

Genesis 18:33	And the LORD went his way, as soon as he had left communing with Abraham: and Abraham returned unto his place.
Genesis 19:1	And there came two angels to Sodom at even; and Lot sat in the gate of Sodom: and Lot seeing [them] rose up to meet them; and he bowed himself with his face toward the ground;
Genesis 19:2	And he said,

Genesis 19:3	And he pressed upon them greatly; and they turned in unto him, and entered into his house; and he made them a feast, and did bake unleavened bread, and they did eat.
Genesis 19:4	But before they lay down, the men of the city, [even] the men of Sodom, compassed the house round, both old and young, all the people from every quarter:
Genesis 19:5	And they called unto Lot, and said unto him, Where [are] the men which came in to thee this night? bring them out unto us, that we may know them.
Genesis 19:6	And Lot went out at the door unto them, and shut the door after him,
Genesis 19:7	And said,

Genesis 19:9	And they said, Stand back. And they said [again], This one [fellow] came in to sojourn, and he will needs be a judge: now will we deal worse with thee, than with them. And they pressed sore upon the man, [even] Lot, and came near to break the door.
Genesis 19:10	But the men put forth their hand, and pulled Lot into the house to them, and shut to the door.
Genesis 19:11	And they smote the men that [were] at the door of the house with blindness, both small and great: so that they wearied themselves to find the door.
Genesis 19:12	And the men said unto Lot,

Genesis 19:14	And Lot went out, and spake unto his sons in law, which married his daughters, and said, Up, get you out of this place; for the LORD will destroy this city. But he seemed as one that mocked unto his sons in law.
Genesis 19:15	And when the morning arose, then the angels hastened Lot, saying,

Genesis 19:16	And while he lingered, the men laid hold upon his hand, and upon the hand of his wife, and upon the hand of his two daughters; the LORD being merciful unto him: and they brought him forth, and set him without the city.
Genesis 19:17	And it came to pass, when they had brought them forth abroad, that he said,

Genesis 19:18	And Lot said unto them, 

Genesis 19:21	And he said unto him, 


Genesis 19:23	The sun was risen upon the earth when Lot entered into Zoar.
Genesis 19:24	Then the LORD rained upon Sodom and upon Gomorrah brimstone and fire from the LORD out of heaven;
Genesis 19:25	And he overthrew those cities, and all the plain, and all the inhabitants of the cities, and that which grew upon the ground.
Genesis 19:26	But his wife looked back from behind him, and she became a pillar of salt.
Genesis 19:27	And Abraham gat up early in the morning to the place where he stood before the LORD:
Genesis 19:28	And he looked toward Sodom and Gomorrah, and toward all the land of the plain, and beheld, and, lo, the smoke of the country went up as the smoke of a furnace.
Genesis 19:29	And it came to pass, when God destroyed the cities of the plain, that God remembered Abraham, and sent Lot out of the midst of the overthrow, when he overthrew the cities in the which Lot dwelt.
Genesis 19:30	And Lot went up out of Zoar, and dwelt in the mountain, and his two daughters with him; for he feared to dwell in Zoar: and he dwelt in a cave, he and his two daughters.
Genesis 19:31	And the firstborn said unto the younger, Our father [is] old, and [there is] not a man in the earth to come in unto us after the manner of all the earth:
Genesis 19:32	Come, let us make our father drink wine, and we will lie with him, that we may preserve seed of our father.
Genesis 19:33	And they made their father drink wine that night: and the firstborn went in, and lay with her father; and he perceived not when she lay down, nor when she arose.
Genesis 19:34	And it came to pass on the morrow, that the firstborn said unto the younger, Behold, I lay yesternight with my father: let us make him drink wine this night also; and go thou in, [and] lie with him, that we may preserve seed of our father.
Genesis 19:35	And they made their father drink wine that night also: and the younger arose, and lay with him; and he perceived not when she lay down, nor when she arose.
Genesis 19:36	Thus were both the daughters of Lot with child by their father.
Genesis 19:37	And the firstborn bare a son, and called his name Moab: the same [is] the father of the Moabites unto this day.
Genesis 19:38	And the younger, she also bare a son, and called his name Benammi: the same [is] the father of the children of Ammon unto this day.
Genesis 20:1	And Abraham journeyed from thence toward the south country, and dwelled between Kadesh and Shur, and sojourned in Gerar.
Genesis 20:2	And Abraham said of Sarah his wife,


and Abimelech king of Gerar sent, and took Sarah.
Genesis 20:3	But God came to Abimelech in a dream by night, and said to him, 

Genesis 20:4	But Abimelech had not come near her: and he said,
Genesis 20:6	And God said unto him in a dream,

Genesis 20:8	Therefore Abimelech rose early in the morning, and called all his servants, and told all these things in their ears: and the men were sore afraid.
Genesis 20:9	Then Abimelech called Abraham, and said unto him,

Genesis 20:10	And Abimelech said unto Abraham,

Genesis 20:11	And Abraham said,

Genesis 20:14	And Abimelech took sheep, and oxen, and menservants, and womenservants, and gave [them] unto Abraham, and restored him Sarah his wife.
Genesis 20:15	And Abimelech said,

Genesis 20:16	And unto Sarah he said,

Genesis 20:17	So Abraham prayed unto God: and God healed Abimelech, and his wife, and his maidservants; and they bare [children].
Genesis 20:18	For the LORD had fast closed up all the wombs of the house of Abimelech, because of Sarah Abraham’s wife.
Genesis 21:1	And the LORD visited Sarah as he had said, and the LORD did unto Sarah as he had spoken.
Genesis 21:2	For Sarah conceived, and bare Abraham a son in his old age, at the set time of which God had spoken to him.
Genesis 21:3	And Abraham called the name of his son that was born unto him, whom Sarah bare to him, Isaac.
Genesis 21:4	And Abraham circumcised his son Isaac being eight days old, as God had commanded him.
Genesis 21:5	And Abraham was an hundred years old, when his son Isaac was born unto him.
Genesis 21:6	And Sarah said,

Genesis 21:7	And she said,

Genesis 21:8	And the child grew, and was weaned: and Abraham made a great feast the [same] day that Isaac was weaned.
Genesis 21:9	And Sarah saw the son of Hagar the Egyptian, which she had born unto Abraham, mocking.
Genesis 21:10	Wherefore she said unto Abraham,

Genesis 21:11	And the thing was very grievous in Abraham’s sight because of his son.
Genesis 21:12	And God said unto Abraham,

Genesis 21:14	And Abraham rose up early in the morning, and took bread, and a bottle of water, and gave [it] unto Hagar, putting [it] on her shoulder, and the child, and sent her away: and she departed, and wandered in the wilderness of Beersheba.
Genesis 21:15	And the water was spent in the bottle, and she cast the child under one of the shrubs.
Genesis 21:16	And she went, and sat her down over against [him] a good way off, as it were a bowshot: for she said, Let me not see the death of the child. And she sat over against [him], and lift up her voice, and wept.
Genesis 21:17	And God heard the voice of the lad; and the angel of God called to Hagar out of heaven, and said unto her,

Genesis 21:19	And God opened her eyes, and she saw a well of water; and she went, and filled the bottle with water, and gave the lad drink.
Genesis 21:20	And God was with the lad; and he grew, and dwelt in the wilderness, and became an archer.
Genesis 21:21	And he dwelt in the wilderness of Paran: and his mother took him a wife out of the land of Egypt.
Genesis 21:22	And it came to pass at that time, that Abimelech and Phichol the chief captain of his host spake unto Abraham, saying,


Genesis 21:24	And Abraham said, 

Genesis 21:25	And Abraham reproved Abimelech because of a well of water, which Abimelech’s servants had violently taken away.
Genesis 21:26	And Abimelech said,

Genesis 21:27	And Abraham took sheep and oxen, and gave them unto Abimelech; and both of them made a covenant.
Genesis 21:28	And Abraham set seven ewe lambs of the flock by themselves.
Genesis 21:29	And Abimelech said unto Abraham,

Genesis 21:30	And he said, 

Genesis 21:31	Wherefore he called that place Beersheba; because there they sware both of them.
Genesis 21:32	Thus they made a covenant at Beersheba: then Abimelech rose up, and Phichol the chief captain of his host, and they returned into the land of the Philistines.
Genesis 21:33	And [Abraham] planted a grove in Beersheba, and called there on the name of the LORD, the everlasting God.
Genesis 21:34	And Abraham sojourned in the Philistines’ land many days.


















